timestamp,anomaly_alerts,UNIX_NETWORK@SPS,JVM@HIST,JVM@SPS,JVM@CONF,CENTOS@HIST,CENTOS@SPS,details
33.0,5,0,2,1,2,0,0,SPSDetector@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
34.0,5,0,2,1,2,0,0,SPSDetector@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
35.0,0,0,0,0,0,0,0,
36.0,4,0,0,0,0,0,4,SPSDetector@CPU User Processes|SPSDetector@CPU Kernel Processes|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|
37.0,4,0,0,0,0,1,3,SPSDetector@CPU User Processes|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@CPU Kernel Processes|
38.0,2,0,0,0,0,0,2,SPSDetector@CPU User Processes|SPSDetector@CPU Kernel Processes|
39.0,4,0,0,0,0,1,3,SPSDetector@Buffers|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@CPU Kernel Processes|SPSDetector@Buffers|
40.0,1,0,0,0,0,0,1,SPSDetector@CPU Kernel Processes|
41.0,7,0,0,0,0,0,7,SPSDetector@Activated Virtual Pages|SPSDetector@Cached Memory|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|SPSDetector@Activated Virtual Pages|
42.0,9,0,0,0,0,1,8,SPSDetector@Activated Virtual Pages|SPSDetector@Cached Memory|SPSDetector@PageOut|HistoricalIndicatorChecker@CPU I/O Wait Processes|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|SPSDetector@Activated Virtual Pages|
43.0,6,0,0,0,0,0,6,SPSDetector@Activated Virtual Pages|SPSDetector@CPU User Processes|SPSDetector@Active Files|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|SPSDetector@Activated Virtual Pages|
44.0,6,0,0,0,0,0,6,SPSDetector@Activated Virtual Pages|SPSDetector@Cached Memory|SPSDetector@Active Files|SPSDetector@CPU Kernel Processes|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|
45.0,0,0,0,0,0,0,0,
46.0,6,0,0,0,0,0,6,SPSDetector@Buffers|SPSDetector@CPU User Processes|SPSDetector@Active Files|SPSDetector@Inactive Files|SPSDetector@Inactive Memory|SPSDetector@Buffers|
47.0,3,2,0,0,0,0,1,SPSDetector@Tcp_Syn|SPSDetector@Tcp_Syn|SPSDetector@Buffers|
48.0,2,2,0,0,0,0,0,SPSDetector@Tcp_Syn|SPSDetector@Tcp_Syn|
49.0,1,1,0,0,0,0,0,SPSDetector@Tcp_Syn|
50.0,6,0,2,0,4,0,0,ConfidenceIntervalChecker@SystemCpuLoad|ConfidenceIntervalChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
51.0,0,0,0,0,0,0,0,
52.0,6,0,2,0,2,1,1,SPSDetector@PageOut|HistoricalIndicatorChecker@CPU I/O Wait Processes|HistoricalIndicatorChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|ConfidenceIntervalChecker@ProcessCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|
53.0,0,0,0,0,0,0,0,
54.0,0,0,0,0,0,0,0,
55.0,0,0,0,0,0,0,0,
