checkers,,,treshold,,voting,,SPS,,,RCC,,,HIST,,,CONF,,,WER,,,INV,,,PEA,,,TEST,,,KMEANS,,,
text,selected,all,text,value,avg,std,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,checkers,avg_time,std_time,
